Activity Constituency,Organization Common Name,Amount Paid,Confirmed Jobs Created
Battlefords - Lloydminster,Town of Wilkie,"$4,203",3
Battlefords - Lloydminster,ACTON'S LOWER SHANNON FARMS,"$6,194",4
Battlefords - Lloydminster,Battlefords Boys and Girls Club,"$22,824",7
Battlefords - Lloydminster,Battlefords Family Health Centre,"$10,573",4
Battlefords - Lloydminster,Battlefords Indian and Metis Friendship Center,"$3,523",1
Battlefords - Lloydminster,Battlefords Interval House,"$7,175",2
Battlefords - Lloydminster,Battlefords Residential Services Inc.,"$3,097",1
Battlefords - Lloydminster,Big Brothers Big Sisters of Lloydminster,"$3,481",1
Battlefords - Lloydminster,Blackstar Community For Better Living Initiative Inc.,"$14,017",7
Battlefords - Lloydminster,Brightsand Lake Regional Park Authority,"$14,363",4
Battlefords - Lloydminster,CEPP Child Care Centre,"$2,513",1
Battlefords - Lloydminster,CMHA Battlefords Branch,"$5,985",2
Battlefords - Lloydminster,Canadian Tire #301,"$1,548",1
Battlefords - Lloydminster,Cavalier Agrow Ltd.,"$7,665",3
Battlefords - Lloydminster,City of North Battleford Department of Leisure Services,"$3,972",3
Battlefords - Lloydminster,Cree Cattle Ranch,"$1,543",1
Battlefords - Lloydminster,Crocus Hill Garden,"$1,351",1
Battlefords - Lloydminster,Edam,"$3,097",2
Battlefords - Lloydminster,Glaslyn Museum,"$5,309",2
Battlefords - Lloydminster,Green Acres Agro Inc,"$1,548",1
Battlefords - Lloydminster,Josuttes Ag,"$1,548",1
Battlefords - Lloydminster,Kowach Foundation,"$34,882",10
Battlefords - Lloydminster,Lashburn Centennial Museum,"$2,599",2
Battlefords - Lloydminster,Little Loon Regional Park Authority,"$10,655",5
Battlefords - Lloydminster,Lloydminster Interval Home  Society,"$14,098",2
Battlefords - Lloydminster,Lloydminster Minor Ball Association,"$3,097",1
Battlefords - Lloydminster,Lloydminster Native Friendship Centre,"$10,004",3
Battlefords - Lloydminster,Lloydminster Region Health Foundation Inc,"$3,097",1
Battlefords - Lloydminster,Luseland and District Discovery Daycare Inc,"$3,451",1
Battlefords - Lloydminster,MADAC,"$3,097",1
Battlefords - Lloydminster,Macklin Daycare Inc.,"$3,097",1
Battlefords - Lloydminster,Macklin Lake Regional Park Authority,"$9,290",3
Battlefords - Lloydminster,Meeting Lake Regional Park,"$13,845",4
Battlefords - Lloydminster,Mervin & District Golf Club Inc,"$12,033",7
Battlefords - Lloydminster,North Battleford Daycare Centre Inc,"$2,995",1
Battlefords - Lloydminster,North Battleford Library,"$3,312",1
Battlefords - Lloydminster,Northwest Community Futures,"$3,331",1
Battlefords - Lloydminster,Paradise Hill Care Home Inc.,"$3,555",1
Battlefords - Lloydminster,Paradise Hill Early Learning Centre Inc.,"$5,899",2
Battlefords - Lloydminster,Parkview Place,"$3,021",1
Battlefords - Lloydminster,Playtime Co-operative Childcare Limited,"$6,194",2
Battlefords - Lloydminster,RM of Manitou Lake #442,"$1,371",1
Battlefords - Lloydminster,RM of Meota No. 468,"$1,548",1
Battlefords - Lloydminster,RM of Round Hill No. 467,"$1,337",1
Battlefords - Lloydminster,RM of Turtle RIver No. 469,"$2,876",2
Battlefords - Lloydminster,RM of Winslow No.319,"$3,097",1
Battlefords - Lloydminster,Resort Village of Cochin,"$3,445",2
Battlefords - Lloydminster,Resource Management International Inc.,"$1,548",1
Battlefords - Lloydminster,Rural Municipality of Buffalo No. 409,"$1,543",1
Battlefords - Lloydminster,Rural Municipality of Frenchman Butte No. 501,"$4,424",2
Battlefords - Lloydminster,Sandy Beach Lake Regional Park Authority,"$7,144",2
Battlefords - Lloydminster,Saskatchewan Health Authority,"$35,608",21
Battlefords - Lloydminster,Saulteaux First Nation,"$9,376",4
Battlefords - Lloydminster,St Walburg Home Building Center,"$4,645",3
Battlefords - Lloydminster,St. Walburg & District Historical Museum Inc,"$5,183",2
Battlefords - Lloydminster,The Bea Fisher Centre Inc.,"$7,131",2
Battlefords - Lloydminster,The Farm House Inn,"$4,645",3
Battlefords - Lloydminster,The Imhoff Heritage Society,"$3,446",2
Battlefords - Lloydminster,Town of Battleford,"$3,982",3
Battlefords - Lloydminster,Town of Cut Knife,"$2,229",2
Battlefords - Lloydminster,Town of Kerrobert Recreation Department,"$1,479",1
Battlefords - Lloydminster,Town of Lashburn,"$1,250",1
Battlefords - Lloydminster,Town of Luseland,"$1,548",1
Battlefords - Lloydminster,Town of Macklin,"$1,548",1
Battlefords - Lloydminster,Town of Maidstone,"$3,097",2
Battlefords - Lloydminster,Town of St. Walburg,"$6,194",4
Battlefords - Lloydminster,Town of Unity,"$7,742",5
Battlefords - Lloydminster,Unity Golf Club,"$3,022",1
Battlefords - Lloydminster,VILLAGE OF GLASLYN,"$1,548",1
Battlefords - Lloydminster,Villa Pascal,"$17,822",5
Battlefords - Lloydminster,Village of Landis,"$1,208",1
Battlefords - Lloydminster,Village of Paradise Hill,"$1,828",1
Battlefords - Lloydminster,Village of Paynton,$906,1
Battlefords - Lloydminster,Western Applied Research Corporation,"$10,485",3
Battlefords - Lloydminster,Western Development Museum,"$9,204",3
Battlefords - Lloydminster,Wilkie and District Museum and Historical Society,"$3,525",1
Battlefords - Lloydminster,TOTAL CONSTITUENCY / CIRCONSCRIPTION,"$454,065",190
Carlton Trail - Eagle Creek,Wheatland Regional Centre,"$10,618",2
Carlton Trail - Eagle Creek,A Horizon Ag Research,"$4,424",3
Carlton Trail - Eagle Creek,Athletes in Action,"$14,359",4
Carlton Trail - Eagle Creek,Bethany Pioneer Village,"$7,181",2
Carlton Trail - Eagle Creek,Biggar & District Daycare Project Inc,"$6,004",2
Carlton Trail - Eagle Creek,Biggar Sarcan,"$10,238",3
Carlton Trail - Eagle Creek,Black Fox Farm and Distillery,"$7,012",6
Carlton Trail - Eagle Creek,Blue Heron Gardens Ltd.,"$1,549",1
Carlton Trail - Eagle Creek,Boys & Girls Clubs of Saskatoon,"$7,049",2
Carlton Trail - Eagle Creek,Breck Management Services,"$4,640",2
Carlton Trail - Eagle Creek,Christian Horizons,"$8,141",3
Carlton Trail - Eagle Creek,City of Humboldt Community & Leisure Services Department,"$10,839",6
Carlton Trail - Eagle Creek,City of Warman,"$6,194",4
Carlton Trail - Eagle Creek,Direct Fencing Supply,"$3,097",1
Carlton Trail - Eagle Creek,Doctors Vision Care,"$3,727",3
Carlton Trail - Eagle Creek,Duck Lake Regional Interpretive Centre,"$6,882",2
Carlton Trail - Eagle Creek,Emerald Lake Reg. Park G.C.,"$14,679",5
Carlton Trail - Eagle Creek,Free Spirit Market,"$1,548",1
Carlton Trail - Eagle Creek,Friends of Batoche Historic Site Inc,"$6,882",2
Carlton Trail - Eagle Creek,Good Neighbours Food Centre (Rosthern District Food Bank),"$3,056",1
Carlton Trail - Eagle Creek,Hafford&District Recreation Board,"$3,357",1
Carlton Trail - Eagle Creek,Honeywood Heritage Nursery Inc,"$3,519",1
Carlton Trail - Eagle Creek,Hope's Home Incorporated,"$6,042",2
Carlton Trail - Eagle Creek,Humboldt & District Museum & Gallery,"$1,549",1
Carlton Trail - Eagle Creek,Humboldt Cooperative Daycare,"$7,181",2
Carlton Trail - Eagle Creek,Humboldt Public School Childcare Centre,"$6,075",2
Carlton Trail - Eagle Creek,Humboldt and District Chamber of Commerce,"$6,991",2
Carlton Trail - Eagle Creek,K & R GOLF LINKS,"$4,358",3
Carlton Trail - Eagle Creek,Little Minnows Daycare,"$11,442",3
Carlton Trail - Eagle Creek,Martensville Baptist Church,"$3,097",1
Carlton Trail - Eagle Creek,Mennonite Heritage Museum,"$3,273",1
Carlton Trail - Eagle Creek,Mennonite Nursing Homes Inc.,"$14,069",4
Carlton Trail - Eagle Creek,Mennonite Youth Farm Bible Camp,"$12,387",4
Carlton Trail - Eagle Creek,Mistawasis Nęhiyawak,"$17,355",4
Carlton Trail - Eagle Creek,NSRBC,"$6,936",1
Carlton Trail - Eagle Creek,New U Fitness,"$1,322",1
Carlton Trail - Eagle Creek,"Paws Republic Boarding, Training & Grooming Centre","$2,876",3
Carlton Trail - Eagle Creek,Petrofka Orchard,"$3,520",2
Carlton Trail - Eagle Creek,Prairie Branches,"$8,104",3
Carlton Trail - Eagle Creek,Prairie Meadow Place,"$5,548",2
Carlton Trail - Eagle Creek,Prairie Skies Resort and Marina,"$1,548",1
Carlton Trail - Eagle Creek,Prairie Sky Trails Association,"$7,049",2
Carlton Trail - Eagle Creek,Prairie's Edge Development Corporation,"$1,548",1
Carlton Trail - Eagle Creek,RM Three Lakes,"$1,548",1
Carlton Trail - Eagle Creek,Recreation & Community Services,"$1,548",1
Carlton Trail - Eagle Creek,Reid-Thompson Public Library,"$3,414",1
Carlton Trail - Eagle Creek,Rosetown Golf Club,"$9,290",3
Carlton Trail - Eagle Creek,Rural Municipality of Bayne No. 371,"$1,327",1
Carlton Trail - Eagle Creek,Rural Municipality of Redberry No. 435,"$3,097",2
Carlton Trail - Eagle Creek,Saskatchewan Dietitians Associaiton,"$3,440",1
Carlton Trail - Eagle Creek,Saskatoon Downtown Youth Centre Inc.,"$12,267",4
Carlton Trail - Eagle Creek,Saskatoon Italian Canadian Cultural & Recreational Centre & Park (SICC)(17 acres),"$10,513",3
Carlton Trail - Eagle Creek,Seager Wheeler Farm,"$8,872",3
Carlton Trail - Eagle Creek,Shekinah Retreat Centre,"$12,387",4
Carlton Trail - Eagle Creek,Spruce Manor Special Care Home,"$6,291",2
Carlton Trail - Eagle Creek,St. Laurent Historical Site,"$6,962",2
Carlton Trail - Eagle Creek,St. Therese School of Faith and Mission Inc,"$10,609",3
Carlton Trail - Eagle Creek,Station Arts Centre,"$6,162",2
Carlton Trail - Eagle Creek,Sunset Manor,"$6,194",2
Carlton Trail - Eagle Creek,Team Fuel Sales,"$1,548",1
Carlton Trail - Eagle Creek,The Humboldt Regional Newcomer Centre Inc.,"$13,403",5
Carlton Trail - Eagle Creek,Three Lakes Economic Development,"$3,495",1
Carlton Trail - Eagle Creek,Tourism Rosetown Incorporated,"$3,097",2
Carlton Trail - Eagle Creek,Town of  Rosthern,"$5,972",4
Carlton Trail - Eagle Creek,Town of Biggar,"$3,097",2
Carlton Trail - Eagle Creek,Town of Bruno,"$2,654",3
Carlton Trail - Eagle Creek,Town of Cudworth,"$6,136",4
Carlton Trail - Eagle Creek,Town of Hafford,"$3,097",2
Carlton Trail - Eagle Creek,Town of Hepburn,"$3,097",2
Carlton Trail - Eagle Creek,Town of Rosetown,"$3,097",2
Carlton Trail - Eagle Creek,Valley Action,"$10,741",3
Carlton Trail - Eagle Creek,Vanscoy and District Early Learning Center,"$7,112",3
Carlton Trail - Eagle Creek,Village of Annaheim,"$1,548",1
Carlton Trail - Eagle Creek,Village of Middle Lake,"$1,416",1
Carlton Trail - Eagle Creek,Village of Muenster,"$1,327",1
Carlton Trail - Eagle Creek,WATERWOLF PLANNING INC.,"$3,097",1
Carlton Trail - Eagle Creek,WRC/ROSETOWN SARCAN,"$2,008",2
Carlton Trail - Eagle Creek,Wanuskewin,"$7,181",1
Carlton Trail - Eagle Creek,Wanuskewin Heritage Park,"$13,595",3
Carlton Trail - Eagle Creek,Water's Edge Marina,"$1,549",1
Carlton Trail - Eagle Creek,Wheatland Express Excursion Train,"$7,049",2
Carlton Trail - Eagle Creek,TOTAL CONSTITUENCY / CIRCONSCRIPTION,"$486,502",184
Cypress Hills - Grasslands,2019 Western Canada Summer Games,"$4,645",3
Cypress Hills - Grasslands,ALB Oilfield,"$1,548",1
Cypress Hills - Grasslands,Abbey Business and Community Centre,"$1,548",1
Cypress Hills - Grasslands,Alleykatz Early Learning Centre Inc.,"$5,976",2
Cypress Hills - Grasslands,Aquatics,"$3,097",2
Cypress Hills - Grasslands,Assiniboia ChildCare Services,"$5,935",2
Cypress Hills - Grasslands,Association Communautaire Fransaskoise de Gravelbourg,"$3,525",1
Cypress Hills - Grasslands,BEYOND BORDERS IMMIGRATION CONSULTING,"$1,328",1
Cypress Hills - Grasslands,Blenders Events Inc,"$6,194",2
Cypress Hills - Grasslands,Burstall Swimming Pool Association Inc.,"$3,357",1
Cypress Hills - Grasslands,Cabri Regional Park,"$2,877",1
Cypress Hills - Grasslands,Camp Elim,"$8,726",3
Cypress Hills - Grasslands,Camp Shagabec,"$10,573",3
Cypress Hills - Grasslands,Canadian Parents for French- Saskatchewan Inc,"$3,357",1
Cypress Hills - Grasslands,Chinook Regional Library,"$3,097",2
Cypress Hills - Grasslands,City of Swift Current,"$10,839",7
Cypress Hills - Grasslands,Consul Bakery,"$1,416",1
Cypress Hills - Grasslands,Eastend Community Swimming Pool,"$8,729",3
Cypress Hills - Grasslands,Eastend Historical Museum & Cultural Centre Inc,"$3,393",1
Cypress Hills - Grasslands,Eatonia & District Recreation Board,"$2,469",1
Cypress Hills - Grasslands,Economic Development Committee,"$3,097",1
Cypress Hills - Grasslands,Elrose ABC Family Centre Inc.,"$3,426",1
Cypress Hills - Grasslands,Elrose Monet Recreation Board,"$7,053",2
Cypress Hills - Grasslands,Family Resource Centre,"$7,114",2
Cypress Hills - Grasslands,Fox Valley Recreation Board,"$3,097",1
Cypress Hills - Grasslands,"Friends of St, Victor petroglyphs","$2,654",1
Cypress Hills - Grasslands,Fun 2 Bee ELC,"$3,525",1
Cypress Hills - Grasslands,Furrows and Faith Cooperative,"$2,854",1
Cypress Hills - Grasslands,Gravelbourg Play and Learn Daycare Inc.,"$3,522",1
Cypress Hills - Grasslands,Great Sandhills Museum,"$3,399",1
Cypress Hills - Grasslands,Innova Ag Solutions Inc,"$1,548",1
Cypress Hills - Grasslands,Iver Main Place Inc.,"$7,963",3
Cypress Hills - Grasslands,Jasper Cultural & Historical Centre,"$5,399",1
Cypress Hills - Grasslands,Kinder Kollege Inc.,"$4,011",1
Cypress Hills - Grasslands,Kyle & District Recreation Board,"$6,997",2
Cypress Hills - Grasslands,Lac Pelletier Regional Park,"$5,060",4
Cypress Hills - Grasslands,Lafleche Early Learning Childcare Centre,"$2,571",1
Cypress Hills - Grasslands,Leader Pharmacy,"$1,267",1
Cypress Hills - Grasslands,Letnes Construction,$774,1
Cypress Hills - Grasslands,Loch Leven Marina,"$4,645",3
Cypress Hills - Grasslands,Lyric Theatre,"$3,072",1
Cypress Hills - Grasslands,MCC Saskatchewan,"$3,102",1
Cypress Hills - Grasslands,Maple Creek $ District Opportunities,"$2,935",1
Cypress Hills - Grasslands,Maple Creek Parks & Recreation,"$6,194",4
Cypress Hills - Grasslands,Maple Creek Visitor Centres,"$3,097",2
Cypress Hills - Grasslands,Morse Museum & Cultural Centre,"$2,719",1
Cypress Hills - Grasslands,Mossbank and District Museum Inc.,"$6,882",2
Cypress Hills - Grasslands,Musée de Gravelbourg & District Museum,"$3,521",1
Cypress Hills - Grasslands,Natural Wonders Early Learning Centre Inc,"$10,573",3
Cypress Hills - Grasslands,Notukeu Regional Park Board,"$5,486",2
Cypress Hills - Grasslands,Old Wives Watershed Association (OWWA),"$3,525",1
Cypress Hills - Grasslands,Palliser Regional Park,"$9,063",3
Cypress Hills - Grasslands,Piche Farms Inc,"$1,549",1
Cypress Hills - Grasslands,Playcare Children's Services Inc.,"$6,947",2
Cypress Hills - Grasslands,Reno Rascals Early Learning and Child Care Inc.,"$3,097",1
Cypress Hills - Grasslands,Resort Village of Coteau Beach,"$1,327",1
Cypress Hills - Grasslands,Riverview Village Estates,"$7,049",2
Cypress Hills - Grasslands,Rock Creek Golf & Country Club Inc.,"$3,092",1
Cypress Hills - Grasslands,Rock Solid Refuge,"$10,612",3
Cypress Hills - Grasslands,Rockin Beach,"$1,980",1
Cypress Hills - Grasslands,S.O.D. Conservation Action Program Inc.,"$7,102",2
Cypress Hills - Grasslands,Saskatchewan Abilities Council Inc.,"$9,873",3
Cypress Hills - Grasslands,Schultz's Ranch Country Meats,"$2,654",2
Cypress Hills - Grasslands,Sexton Grazing,"$1,543",1
Cypress Hills - Grasslands,Shamrock Park,"$7,963",3
Cypress Hills - Grasslands,Southwest Homes,"$5,380",2
Cypress Hills - Grasslands,Successs Daycare,"$2,826",1
Cypress Hills - Grasslands,Swift Current Agricultural & Exhibition Association,"$6,797",2
Cypress Hills - Grasslands,Swift Current Creek Watershed Stewards,"$3,553",1
Cypress Hills - Grasslands,Swift Current Vision Care Clinic,"$1,549",1
Cypress Hills - Grasslands,The Salvation Army,"$2,367",1
Cypress Hills - Grasslands,"The Salvation Army, Maple Creek","$3,525",1
Cypress Hills - Grasslands,The Vanguard & District Recreation Board,"$3,254",2
Cypress Hills - Grasslands,Thomson Lake Regional Park Authority,"$3,097",1
Cypress Hills - Grasslands,Town of Assiniboia,"$1,548",1
Cypress Hills - Grasslands,Town of Elrose,"$1,548",1
Cypress Hills - Grasslands,Town of Gull Lake,"$1,548",1
Cypress Hills - Grasslands,Town of Leader,"$5,674",5
Cypress Hills - Grasslands,Town of Mossbank,"$1,648",1
Cypress Hills - Grasslands,Town of Ponteix,"$3,097",2
Cypress Hills - Grasslands,Treeosix Adventure Parks,"$8,760",6
Cypress Hills - Grasslands,Val Marie Early Learning Centre Inc,"$6,927",2
Cypress Hills - Grasslands,Village of Caronport,"$1,548",1
Cypress Hills - Grasslands,Village of Chaplin,"$1,548",1
Cypress Hills - Grasslands,Village of Climax,"$1,944",2
Cypress Hills - Grasslands,Village of Hazlet,"$1,327",1
Cypress Hills - Grasslands,W. A. Grain & Pulse Solutions,"$3,097",2
Cypress Hills - Grasslands,Wellness and Leisure,"$4,383",3
Cypress Hills - Grasslands,West Central Abilities Inc,"$3,058",1
Cypress Hills - Grasslands,Wheatland Conservation Area Inc.,"$5,309",2
Cypress Hills - Grasslands,Willow Bunch Museum,"$3,547",1
Cypress Hills - Grasslands,Willow Creek Manor by I Care Inc.,"$2,914",2
Cypress Hills - Grasslands,Windscape Kite Club Inc.,"$9,291",3
Cypress Hills - Grasslands,TOTAL CONSTITUENCY / CIRCONSCRIPTION,"$398,626",164
Desnethé - Missinippi - Churchill River,Friends of the Park,"$7,049",2
Desnethé - Missinippi - Churchill River,Alex Robertson Public Library,"$7,049",2
Desnethé - Missinippi - Churchill River,Big River District Recreation & Cultural Board,"$10,793",4
Desnethé - Missinippi - Churchill River,Big River Golf Course,"$17,225",3
Desnethé - Missinippi - Churchill River,Big River Regional Park,"$21,511",4
Desnethé - Missinippi - Churchill River,Buffalo Narrows Economic Development Corporation,"$1,565",1
Desnethé - Missinippi - Churchill River,Buffalo Narrows Friendship Centre,"$12,720",4
Desnethé - Missinippi - Churchill River,CREIGHTON COMMUNITY CENTRE INC.,"$2,923",1
Desnethé - Missinippi - Churchill River,Camp Kadesh,"$17,523",5
Desnethé - Missinippi - Churchill River,Camp Okema,"$8,512",3
Desnethé - Missinippi - Churchill River,Camp Oshkidee,"$9,103",3
Desnethé - Missinippi - Churchill River,Camp Tapawingo,"$6,194",2
Desnethé - Missinippi - Churchill River,Candle Lake Golf Resort,"$9,280",6
Desnethé - Missinippi - Churchill River,Canwood Public School,"$10,277",3
Desnethé - Missinippi - Churchill River,Canwood Regional Park,"$6,194",1
Desnethé - Missinippi - Churchill River,Cavalier Agrow Ltd.,"$6,194",2
Desnethé - Missinippi - Churchill River,Community Resource Center,"$6,615",2
Desnethé - Missinippi - Churchill River,Debden Community Center,"$3,587",1
Desnethé - Missinippi - Churchill River,Denare Beach Recreation Board,"$7,677",6
Desnethé - Missinippi - Churchill River,District of Lakeland #521,"$6,194",4
Desnethé - Missinippi - Churchill River,Dutch Treat Mini Golf,"$2,823",2
Desnethé - Missinippi - Churchill River,Efree church of Meadow Lake,"$6,900",2
Desnethé - Missinippi - Churchill River,Gabriel Dumont Institute Training and Employment Inc,"$3,525",1
Desnethé - Missinippi - Churchill River,Goodsoil Historical Museum,"$2,933",1
Desnethé - Missinippi - Churchill River,Greig Lake Store,"$5,035",4
Desnethé - Missinippi - Churchill River,Highway 55 Waste Management Corporation,"$1,327",1
Desnethé - Missinippi - Churchill River,Ile a la Crosse Communications Society Incorporated,"$6,188",2
Desnethé - Missinippi - Churchill River,Ile a la Crosse Friendship Centre,"$7,124",2
Desnethé - Missinippi - Churchill River,Kikinahk,"$15,634",5
Desnethé - Missinippi - Churchill River,Kinasao Lutheran Bible Camp,"$9,290",3
Desnethé - Missinippi - Churchill River,LA LOCHE HOUSING AUTHORITY,"$1,294",1
Desnethé - Missinippi - Churchill River,La Loche Friendship Centre,"$13,484",4
Desnethé - Missinippi - Churchill River,Lac La Ronge Indian Band,"$28,024",8
Desnethé - Missinippi - Churchill River,Lifesaving Society - Saskatchewan Branch,"$6,194",2
Desnethé - Missinippi - Churchill River,Love & Laughter Early Learning Centre Inc,"$5,515",2
Desnethé - Missinippi - Churchill River,Meadow Lake Alliance Church,"$3,509",1
Desnethé - Missinippi - Churchill River,Meadow Lake Tribal Council,"$3,323",1
Desnethé - Missinippi - Churchill River,Morin Lake Regional Park,"$10,618",4
Desnethé - Missinippi - Churchill River,Ness Core Ventures,"$2,967",2
Desnethé - Missinippi - Churchill River,Northern Bridge Community Partnership,"$9,553",3
Desnethé - Missinippi - Churchill River,Northern Gateway Museum,"$3,097",1
Desnethé - Missinippi - Churchill River,Northern Hamlet of Jans Bay,"$2,623",1
Desnethé - Missinippi - Churchill River,Northern Hamlet of Patuanak,"$14,513",4
Desnethé - Missinippi - Churchill River,Northern Lakes Economic Development Corp,"$3,352",1
Desnethé - Missinippi - Churchill River,Northern Village of Air Ronge,"$1,548",1
Desnethé - Missinippi - Churchill River,Pahkisimon Nuye?ah Library System,"$10,126",3
Desnethé - Missinippi - Churchill River,Patio Cafe,"$3,097",2
Desnethé - Missinippi - Churchill River,R.M of Canwood No. 494,"$3,097",2
Desnethé - Missinippi - Churchill River,RM of Beaver River 622,"$1,477",1
Desnethé - Missinippi - Churchill River,Resort Village of Candle Lake,"$2,092",3
Desnethé - Missinippi - Churchill River,Rubi's Outdoors,"$2,472",1
Desnethé - Missinippi - Churchill River,Saskatchewan Health Authority,"$3,141",2
Desnethé - Missinippi - Churchill River,Saskatchewan Health Authority,"$1,482",1
Desnethé - Missinippi - Churchill River,Smiling Hearts Daycare,"$2,465",1
Desnethé - Missinippi - Churchill River,"Spiritwood Area Recreation, Culture and Sport","$10,286",3
Desnethé - Missinippi - Churchill River,St. John Bosco Camp,"$14,339",5
Desnethé - Missinippi - Churchill River,Stanley Mission Band Office,"$7,573",5
Desnethé - Missinippi - Churchill River,The Duke of Edinburgh's International Award - Canada - Saskatchewan Inc.,"$2,962",1
Desnethé - Missinippi - Churchill River,Town Of Spiritwood,"$3,097",2
Desnethé - Missinippi - Churchill River,Town of Creighton,"$6,194",6
Desnethé - Missinippi - Churchill River,Town of La Ronge Airport,"$1,405",1
Desnethé - Missinippi - Churchill River,Town of La Ronge Parks & Recreation Department,"$3,097",2
Desnethé - Missinippi - Churchill River,Treeosix Adventure Parks,"$12,387",9
Desnethé - Missinippi - Churchill River,Turning Point Youth Centre,"$3,567",1
Desnethé - Missinippi - Churchill River,Village of Canwood,"$2,566",1
Desnethé - Missinippi - Churchill River,Village of Debden,"$4,645",3
Desnethé - Missinippi - Churchill River,Village of Loon Lake,"$1,548",1
Desnethé - Missinippi - Churchill River,Village of Pierceland,"$1,548",1
Desnethé - Missinippi - Churchill River,Visions North Community FUtures Development Corp,"$3,520",1
Desnethé - Missinippi - Churchill River,Waskahiganihk Early Childhood Development Centre,"$3,171",1
Desnethé - Missinippi - Churchill River,Waskesiu Chamber of Commerce,"$11,617",2
Desnethé - Missinippi - Churchill River,Waskesiu Heritage Museum,"$7,168",2
Desnethé - Missinippi - Churchill River,Waskesiu Marina Adventure Centre,"$5,635",4
Desnethé - Missinippi - Churchill River,Waskesiu Recreation Association,"$20,925",5
Desnethé - Missinippi - Churchill River,Waskesiu and Area Wilderness Region,"$4,748",2
Desnethé - Missinippi - Churchill River,YEWRWAY,"$1,548",1
Desnethé - Missinippi - Churchill River,TOTAL CONSTITUENCY / CIRCONSCRIPTION,"$511,573",193
Moose Jaw - Lake Centre - Lanigan,Town of Watrous,"$6,052",3
Moose Jaw - Lake Centre - Lanigan,Village of Clavet,"$3,097",2
Moose Jaw - Lake Centre - Lanigan,Allan Communiuty Heritage Society and Museum,"$3,021",1
Moose Jaw - Lake Centre - Lanigan,Arc Alloy Welding,"$3,341",2
Moose Jaw - Lake Centre - Lanigan,Arlington Beach Camp,"$21,741",8
Moose Jaw - Lake Centre - Lanigan,Association communautaire fransaskoise de Moose Jaw,"$3,222",1
Moose Jaw - Lake Centre - Lanigan,Association of Manitou Arts & Cultures,"$3,520",1
Moose Jaw - Lake Centre - Lanigan,Avonlea Museum,"$6,376",2
Moose Jaw - Lake Centre - Lanigan,Big Brothers Big Sisters of Moose Jaw,"$3,525",1
Moose Jaw - Lake Centre - Lanigan,Blue Bird cafe,"$2,654",2
Moose Jaw - Lake Centre - Lanigan,Boryski's Butcher Block Mobile,"$1,327",1
Moose Jaw - Lake Centre - Lanigan,Central Saskatchewan Military Family Resource Centre Inc.,"$7,068",2
Moose Jaw - Lake Centre - Lanigan,Christian Horizons,"$7,067",2
Moose Jaw - Lake Centre - Lanigan,City of Moose Jaw,"$1,548",1
Moose Jaw - Lake Centre - Lanigan,City of Moose Jaw,"$5,751",4
