Activity Constituency,Organization Common Name,Amount Paid,Confirmed Jobs Created
Saskatoon - Grasswood,Eastview Centre for Early Learning Co-op Ltd.,"$3,525",1
Saskatoon - Grasswood,Elim Church,"$14,742",3
Saskatoon - Grasswood,Elim Lodge,"$7,153",1
Saskatoon - Grasswood,Emmanuel Baptist Church,"$8,055",1
Saskatoon - Grasswood,Federation of Canadian Music Festivals,"$11,322",2
Saskatoon - Grasswood,Good Shepherd Lutheran Church,"$6,029",1
Saskatoon - Grasswood,Horizon College & Seminary,"$2,876",1
Saskatoon - Grasswood,Hyde Park View,"$6,631",1
Saskatoon - Grasswood,Inclusion Saskatchewan,"$7,683",1
Saskatoon - Grasswood,Jubilee Residences Inc.,"$23,913",7
Saskatoon - Grasswood,L'Arche Saskatoon,"$7,049",2
Saskatoon - Grasswood,Light of the Prairies,"$9,177",2
Saskatoon - Grasswood,Marian Gymnastics Club,"$3,227",1
Saskatoon - Grasswood,Marian Recreational Gymnastics Club,"$1,311",1
Saskatoon - Grasswood,McClure Place,"$13,401",2
Saskatoon - Grasswood,McClure United Church,"$10,065",2
Saskatoon - Grasswood,Parents Child Development Cooperative,"$12,127",4
Saskatoon - Grasswood,Parents' Child Development Co-operative,"$13,566",5
Saskatoon - Grasswood,Parents' Child Development Co-operative,"$12,387",5
Saskatoon - Grasswood,Polyhealth,"$3,539",1
Saskatoon - Grasswood,Preston Early Learning,"$8,760",3
Saskatoon - Grasswood,Roots of Learning,"$3,525",1
Saskatoon - Grasswood,Royal City Soccer Club,"$6,194",2
Saskatoon - Grasswood,Sakatoon Chinese Christian Church,"$6,178",2
Saskatoon - Grasswood,Saskatchewan Abilities Council Inc.,"$11,907",2
Saskatoon - Grasswood,Saskatchewan Elocution and Debate Association (SEDA),"$9,059",3
Saskatoon - Grasswood,Saskatchewan First Nation Natural Resource Centre of Excellence,"$14,098",2
Saskatoon - Grasswood,Saskatchewan First Nations Family and Community Institute,"$9,418",2
Saskatoon - Grasswood,Saskatoon Baseball Council Incorporated,"$4,853",3
Saskatoon - Grasswood,Saskatoon Naturopathic Medicine,"$1,327",1
Saskatoon - Grasswood,Saskatoon Prairieland Park Corporation,"$27,359",4
Saskatoon - Grasswood,Saskatoon Society for the Prevention of Cruelty to Animals,"$17,949",5
Saskatoon - Grasswood,Saskatoon Tribal Council,"$5,176",1
Saskatoon - Grasswood,Sunnyside Adventist Care Centre,"$21,069",6
Saskatoon - Grasswood,The GO Project,"$3,525",2
Saskatoon - Grasswood,The Salvation Army Beaver Creek Camp,"$8,078",3
Saskatoon - Grasswood,Western Development Museum - Saskatoon,"$6,231",1
Saskatoon - Grasswood,TOTAL CONSTITUENCY / CIRCONSCRIPTION,"$557,442",159
Saskatoon - University,25th Street Theatre Centre Inc.,"$12,032",4
Saskatoon - University,360 Painting Saskatoon,"$2,855",1
Saskatoon - University,Acadia Construction,"$23,221",13
Saskatoon - University,Acadia Construction  Management Ltd,"$3,092",2
Saskatoon - University,Acadia Paving Ltd.,"$7,737",6
Saskatoon - University,Albert Childcare Co-operative,"$3,718",1
Saskatoon - University,Boryski's Butcher Block Mobile,"$2,323",2
Saskatoon - University,Boys & Girls Clubs of Saskatoon,"$7,049",2
Saskatoon - University,Broadway Business Improvement District,"$3,097",1
Saskatoon - University,CDBA SASK CHAPTER,"$3,282",1
Saskatoon - University,CNIB,"$3,042",1
Saskatoon - University,Campus Day Care,"$3,489",1
Saskatoon - University,"Community Arts Program, University of Saskatchewan","$5,928",4
Saskatoon - University,Diefenbaker Canada Centre,"$9,290",5
Saskatoon - University,Eagle's Nest Youth Ranch,"$1,187",1
Saskatoon - University,Ebenezer Baptist Church,"$3,097",1
Saskatoon - University,Erindale Alliance Church,"$3,097",1
Saskatoon - University,Ethan Rawlings Enterprises,"$5,215",4
Saskatoon - University,Face to Face Ministries,"$7,068",2
Saskatoon - University,Friends Together Childcare Cooperative,"$5,727",2
Saskatoon - University,Frontier College,"$3,543",1
Saskatoon - University,Grosvenor Park United Church,"$10,356",3
Saskatoon - University,Integrated Engineering Inc,"$5,752",3
Saskatoon - University,Junior Achievement Saskatchewan,"$5,552",2
Saskatoon - University,Living Sky Wildlife Rehabilitation,"$31,869",5
Saskatoon - University,Museum of Antiquities,"$9,290",6
Saskatoon - University,Nashi,"$3,078",1
Saskatoon - University,Ness Creek,"$3,522",1
Saskatoon - University,Oak Trees & Acorns Child Care Centre,"$6,194",2
Saskatoon - University,Prairie Arctic Regional Council,"$2,914",1
Saskatoon - University,Preston Early Learning,"$9,290",3
Saskatoon - University,R. M. of Corman Park #344,"$6,194",4
Saskatoon - University,Rainbow Housing Cooperative,"$7,180",2
Saskatoon - University,Ronald McDonald House Charities - Saskatchewan,"$6,801",2
Saskatoon - University,Royal City Soccer Club,"$3,982",1
Saskatoon - University,SCI-FI Science Camps,"$9,290",6
Saskatoon - University,SIIT,"$6,570",1
Saskatoon - University,SMG Operating Ltd.,"$4,645",3
Saskatoon - University,Saskatchewan Aboriginal Track and Field (SaskATF),"$6,990",2
Saskatoon - University,Saskatchewan Indian Equity Foundation Inc.,"$3,525",1
Saskatoon - University,Saskatchewan Wildlife Federation,"$24,515",7
Saskatoon - University,Saskatoon Council on Aging (SCOA),"$2,965",1
Saskatoon - University,Saskatoon Fireworks Festival Inc.,"$9,290",3
Saskatoon - University,Saskatoon Tribal Council,"$10,573",3
Saskatoon - University,Saskatoon Tribal Council,"$7,049",2
Saskatoon - University,Saskatoon Tribal Council,"$10,573",3
Saskatoon - University,Saskatoon Zoo Society Inc.,"$3,590",1
Saskatoon - University,Sherbrooke Community Society Inc,"$7,181",2
Saskatoon - University,Spadina Early Learning and Childcare Cooperative,"$9,327",3
Saskatoon - University,Spray-Net Saskatoon,"$4,807",4
Saskatoon - University,Sum Theatre,"$3,018",1
Saskatoon - University,The Broadway Theatre,"$3,526",1
Saskatoon - University,The Neighbourhood Church,"$7,087",2
Saskatoon - University,The Neighbourhood Church Early Learning Centre,"$7,079",2
Saskatoon - University,Tufts Management Inc,"$2,889",1
Saskatoon - University,Tykes and Tots Early Learning Centre Inc.,"$7,048",2
Saskatoon - University,UCC Saskatchewan,"$3,514",1
Saskatoon - University,University of Saskatchewan,"$3,097",1
Saskatoon - University,University of Saskatchewan,"$1,548",1
Saskatoon - University,University of Saskatchewan,"$1,548",1
Saskatoon - University,University of Saskatchewan Students Union Childcare Centre - McEown Location,"$7,748",2
Saskatoon - University,University of Saskatoon,"$6,194",2
Saskatoon - University,VCA Canada Central Animal Hospital,"$1,548",1
Saskatoon - University,Virtue Construction Ltd.,"$6,189",4
Saskatoon - University,TOTAL CONSTITUENCY / CIRCONSCRIPTION,"$413,986",156
Saskatoon West,The Rock Church,"$7,048",1
Saskatoon West,4-H Saskatchewan,"$4,645",1
Saskatoon West,ABORIGINAL FRIENDSHIP CENTRES OF SASKATCHEWAN,"$2,329",2
Saskatoon West,Ag-Quest Inc.,"$13,931",9
Saskatoon West,Agriculture in the Classroom,"$10,573",2
Saskatoon West,Autism Services,"$15,514",5
Saskatoon West,Boys & Girls Clubs of Saskatoon,"$7,049",2
Saskatoon West,CHEP Good Food Inc,"$15,223",5
Saskatoon West,Canadian Parents for French- Saskatchewan Inc,"$6,898",1
Saskatoon West,Canadian Red Cross (Saskatoon office),"$3,580",1
Saskatoon West,Canoe Kayak Saskatchewan,"$17,441",5
Saskatoon West,Carpenter's Church,"$6,188",2
Saskatoon West,Child & Youth Friendly Saskatoon,"$7,113",2
Saskatoon West,Children's Discovery Museum,"$7,049",2
Saskatoon West,Children's Wish,"$3,123",1
Saskatoon West,Clip 'N Climb Saskatoon Inc.,"$2,606",2
Saskatoon West,Community Living Association Saskatoon Inc.,"$3,097",1
Saskatoon West,Confederation Park Childcare Center,"$5,729",2
Saskatoon West,Cosmo,"$12,829",4
Saskatoon West,Crocus Co-operative,"$3,525",1
Saskatoon West,Diabetes Canada,"$3,418",1
Saskatoon West,Downtown Saskatoon,"$12,382",4
Saskatoon West,Dumont Technical Institute,"$3,525",1
Saskatoon West,Dundonald Childcare Co-operative,"$3,517",1
Saskatoon West,Eco Glide Adventures/River Landing Snacks,"$7,691",4
Saskatoon West,Epic Alliance Inc,"$3,092",2
Saskatoon West,Families First Child Care Center,"$7,049",2
Saskatoon West,Family Service Saskatoon,"$3,477",1
Saskatoon West,Football Saskatchewan,"$3,522",1
Saskatoon West,Gabriel Dumont Institute,"$7,049",2
Saskatoon West,Gabriel Dumont Institute Training and Employment Inc,"$3,525",1
Saskatoon West,Give Kids A Chance Charity Inc.,"$3,346",1
Saskatoon West,Gordie Howe Sports Complex Management Inc,"$17,946",5
Saskatoon West,International Women of Saskatoon,"$10,321",3
Saskatoon West,John Howard Society of Saskatchewan,"$2,125",1
Saskatoon West,Jubilee Residences Inc.,"$17,476",6
Saskatoon West,La Fédération des Francophones de Saskatoon,"$4,721",1
Saskatoon West,Lambert Distributing Inc.,"$7,737",3
Saskatoon West,Learning Disabilities Association of Saskatchewan,"$16,944",4
Saskatoon West,MCC Saskatchewan,"$5,593",1
Saskatoon West,Massey Place Community Church,"$3,525",1
Saskatoon West,Meewasin Valley Authority,"$25,125",7
Saskatoon West,Next Generation Early Learning Centre Cooperative,"$6,498",2
Saskatoon West,North Saskatchewan Independent Living Centre Inc.,"$7,044",2
Saskatoon West,Nutrien Children's Festival of Saskatchewan,"$6,557",2
Saskatoon West,OUTSaskatoon,"$3,458",1
Saskatoon West,Oak Trees & Acorns Child Care Centre,"$6,194",2
Saskatoon West,PAD Environmental LTd.,"$1,327",1
Saskatoon West,Persephone Theatre,"$10,573",3
Saskatoon West,Preston Early Learning,"$3,097",1
Saskatoon West,Radius Community Centre,"$2,833",1
Saskatoon West,Riversdale BID,"$3,525",1
Saskatoon West,Riverside Badminton and Tennis Club Inc,"$4,942",2
Saskatoon West,S & E Trusted Online Directories Inc,"$1,543",1
Saskatoon West,SARBI,"$3,261",1
Saskatoon West,SDHHS,"$10,573",3
Saskatoon West,SK Drafting,"$1,548",1
Saskatoon West,SMG Operating Ltd.,"$4,297",3
Saskatoon West,Safe Drinking Water Foundation,"$3,097",1
Saskatoon West,Sask Volleyball,"$7,097",2
Saskatoon West,SaskExpress,"$6,624",2
Saskatoon West,Saskatchewan Archaeological Society,"$7,085",2
Saskatoon West,Saskatchewan Co-operative Association,"$6,793",2
Saskatoon West,Saskatchewan German Council,"$3,231",1
Saskatoon West,Saskatchewan Golf Association Inc.,"$6,911",2
Saskatoon West,Saskatchewan Intercultural Association,"$3,537",1
Saskatoon West,Saskatchewan Rowing Association,"$3,097",1
Saskatoon West,Saskatchewan Rugby Union Inc,"$3,029",1
Saskatoon West,Saskatchewan SPCA,"$3,541",1
Saskatoon West,Saskatchewan Waste Reduction Council Inc.,"$9,285",3
Saskatoon West,Saskatchewn Elocution and Debate Association (SEDA),"$8,922",3
Saskatoon West,Saskatoon Community Youth Arts Programming (SCYAP),"$10,511",3
Saskatoon West,Saskatoon Downtown Youth Centre Inc.,"$2,028",1
Saskatoon West,Saskatoon Folkfest,"$7,049",2
Saskatoon West,Saskatoon Food Bank & Learning Centre,"$7,056",2
Saskatoon West,Saskatoon Friendship Inn,"$7,029",2
Saskatoon West,Saskatoon Indian and Metis Friendship Centre,"$12,803",4
Saskatoon West,Saskatoon Minor Football,"$3,525",1
Saskatoon West,Saskatoon Public Schools Foundation,"$2,296",1
Saskatoon West,Saskatoon Services for Seniors,"$5,020",2
Saskatoon West,Saskatoon Sexual Health,"$7,173",2
Saskatoon West,Saskatoon Student Child Care Services Inc.,"$10,628",4
Saskatoon West,Saskatoon Trades and Skills Center,"$3,590",1
Saskatoon West,Saskatoon Tribal Council,"$28,195",8
Saskatoon West,Saskatoon Tribal Council,"$7,049",2
Saskatoon West,Saskatoon Ultimate Disc-sport Society (SUDS),"$3,097",1
Saskatoon West,Shakespeare on the Saskatchewan,"$13,916",4
Saskatoon West,Sherbrooke Community Society Inc,"$3,591",1
Saskatoon West,South Saskatchewan River Watershed Stewards,"$3,005",1
Saskatoon West,Spadina Early & Childcare Cooperative Ltd. - Princess Alexandra,"$10,573",3
Saskatoon West,Spinal Cord Injury Saskatchewan Inc.,$980,1
Saskatoon West,The AIM (Ability in Me) Program,"$5,748",4
Saskatoon West,The Bridge City Bicycle Co-op,"$3,357",1
Saskatoon West,The Lighthouse Supported Living Inc.,"$9,280",2
Saskatoon West,The Local Kitchen,"$1,161",1
Saskatoon West,The Saskatchewan Brain Injury Association,"$3,533",1
Saskatoon West,The Students Commission of Canada,"$5,862",2
Saskatoon West,Tykes and Tots Early Learning Centre Inc.,"$7,065",2
Saskatoon West,UCC Saskatchewan,"$3,519",1
Saskatoon West,United Way Saskatoon and Area,"$3,525",1
Saskatoon West,Void Gallery,"$7,200",1
Saskatoon West,West Ridge Childcare Center,"$6,816",2
Saskatoon West,Westgate Alliance Church Inc.,"$14,098",4
Saskatoon West,Westgate Heights Attainable Housing Inc.,"$6,882",2
Saskatoon West,Wet Paint Pottery,"$1,327",1
Saskatoon West,Wheatland Express Excursion Train,"$3,525",1
Saskatoon West,Wide Open Children's Theatre,"$8,973",3
Saskatoon West,YMCA of Saskatoon,"$14,098",4
Saskatoon West,Yellow Quill Urban Services Inc,"$3,349",1
Saskatoon West,TOTAL CONSTITUENCY / CIRCONSCRIPTION,"$736,547",233
Souris - Moose Mountain,Estevan Public Library Branch,"$3,525",1
Souris - Moose Mountain,Alida Recreation Board,"$6,846",2
Souris - Moose Mountain,Association communautaire francophone de Bellegarde Inc,"$3,018",1
Souris - Moose Mountain,Bekevar Heritage Foundation Church,"$3,030",1
Souris - Moose Mountain,Bengough & District Recreation Board,"$9,290",6
Souris - Moose Mountain,Big Brothers Big Sisters of Yorkton and Area,"$3,498",1
Souris - Moose Mountain,Big Muddy Nature Centre & Museum,"$2,654",1
Souris - Moose Mountain,Bridges & Company LLP,"$1,548",1
Souris - Moose Mountain,Broadview Museum,"$3,357",1
Souris - Moose Mountain,Canadian Parents for French- Saskatchewan Inc,"$3,357",1
Souris - Moose Mountain,Carlyle Golf Course,"$7,049",2
Souris - Moose Mountain,Carlyle and District Leisure Complex,"$7,049",2
Souris - Moose Mountain,Choose Life Ministry,"$12,407",4
Souris - Moose Mountain,City of Weyburn,"$1,548",1
Souris - Moose Mountain,City of Weyburn,"$1,548",1
Souris - Moose Mountain,Cornerstone Family and Youth Centre,"$3,522",1
Souris - Moose Mountain,Cornucopia Gardens,"$2,023",3
Souris - Moose Mountain,Coronach Recreation Board,"$8,124",3
Souris - Moose Mountain,Coronach Tourism,"$6,144",2
Souris - Moose Mountain,DSPCH,"$7,119",2
Souris - Moose Mountain,Davidson Truck & Tractor Ltd.,"$1,548",1
Souris - Moose Mountain,Dream Big Child Care Inc.,"$7,049",2
Souris - Moose Mountain,Estevan Area Literacy Group,"$5,884",2
Souris - Moose Mountain,Estevan Humane Society,"$3,484",3
Souris - Moose Mountain,Expressway Family Centre,"$3,014",1
Souris - Moose Mountain,Gap Swimming Committee,"$11,959",4
Souris - Moose Mountain,Hebert Grain Ventures,"$3,097",2
Souris - Moose Mountain,Kemoca Regional Park,"$3,444",1
Souris - Moose Mountain,Kingswood Golf Club,"$3,525",1
Souris - Moose Mountain,Kipling & District Parks and Recreation,"$6,991",2
Souris - Moose Mountain,Kipling & District Swimming Pool,"$10,355",3
Souris - Moose Mountain,Kipling District Historical Society and Museum,"$3,559",1
Souris - Moose Mountain,Kitchen Party Music Inc,"$17,418",5
Souris - Moose Mountain,MFRC,"$12,489",4
Souris - Moose Mountain,Moosomin & District Regional Park,"$1,548",1
Souris - Moose Mountain,Moosomin Parks & Recreation Board,"$1,548",1
Souris - Moose Mountain,Moosomin Thrift Store & Moosomin Food Share,"$6,861",2
Souris - Moose Mountain,Ogema Regional Park Authority,"$7,089",3
Souris - Moose Mountain,P.A.R Contracting Ltd.,"$14,847",10
Souris - Moose Mountain,PANGMAN RECREATION CENTRE,"$3,357",1
Souris - Moose Mountain,Pangman Daycare,"$3,097",1
Souris - Moose Mountain,Play Fair Daycare Inc.,"$2,942",1
Souris - Moose Mountain,R.M. of Enniskillen No. 3,"$1,497",1
Souris - Moose Mountain,Radville Laurier Regional Park,"$13,626",6
Souris - Moose Mountain,Redvers & District Rec Centre,"$6,194",2
Souris - Moose Mountain,Redvers Activity Centre Inc.,"$1,718",1
Souris - Moose Mountain,Redvers Early Learning & Child Care Centres Inc.,"$3,097",1
Souris - Moose Mountain,Redvers Tourism,"$3,097",1
Souris - Moose Mountain,Rocanville & District Museum,"$9,232",3
Souris - Moose Mountain,Rocanville Aquatic Centre,"$6,545",2
Souris - Moose Mountain,Rocanville Recreation Office,"$4,507",3
Souris - Moose Mountain,Rocxanville Town and Country Golf Club Inc.,"$3,097",2
Souris - Moose Mountain,Rural Municipality of Cambria No. 6,"$1,549",1
Souris - Moose Mountain,Rural Municipality of Norton #69,"$1,548",1
Souris - Moose Mountain,Rusty Relics Museum,"$3,591",1
Souris - Moose Mountain,Signal Hill Arts Centre,"$1,548",1
Souris - Moose Mountain,Soo Line Daycare Co-operative,"$3,569",1
Souris - Moose Mountain,Soo Line Historical Museum,"$7,181",2
Souris - Moose Mountain,Souris Valley Museum,"$3,294",1
Souris - Moose Mountain,Southeast College,"$4,365",4
Souris - Moose Mountain,Southeast Regional Library - Headquarters,"$3,366",1
Souris - Moose Mountain,Southern Prairie Railway,"$2,654",1
Souris - Moose Mountain,St. Paul's United Church,"$6,466",2
Souris - Moose Mountain,Stoughton Swimming Pool,"$2,743",2
Souris - Moose Mountain,Sun Country Kids Club Inc.,"$11,638",4
Souris - Moose Mountain,Sunrise Early Learning Centre,"$3,525",1
Souris - Moose Mountain,Tatagwa Kidz Kare Inc.,"$3,440",1
Souris - Moose Mountain,The Family Place,"$8,916",3
Souris - Moose Mountain,Top Notch Farm Supply Inc,"$1,548",1
Souris - Moose Mountain,Tourism Radville,"$3,517",1
Souris - Moose Mountain,Town Of Wapella,"$1,327",1
Souris - Moose Mountain,Town of  Kipling,"$1,548",1
Souris - Moose Mountain,Town of Arcola,"$1,543",2
Souris - Moose Mountain,Town of Bienfait,"$1,548",2
Souris - Moose Mountain,Town of Bienfait,"$3,097",2
Souris - Moose Mountain,Town of Broadview,"$3,097",2
Souris - Moose Mountain,Town of Carlyle,"$1,548",1
Souris - Moose Mountain,Town of Carnduff,"$1,548",1
Souris - Moose Mountain,Town of Francis,"$1,548",1
Souris - Moose Mountain,Town of Grenfell,"$6,194",4
Souris - Moose Mountain,Town of Midale,"$5,663",4
Souris - Moose Mountain,Town of Oxbow,"$5,751",4
Souris - Moose Mountain,Town of Radville,"$1,548",1
Souris - Moose Mountain,Town of Redvers,"$1,543",1
Souris - Moose Mountain,Town of Whitewood,"$1,548",1
Souris - Moose Mountain,Upper Souris Watershed Association,"$3,097",1
Souris - Moose Mountain,Village of Minton,"$2,769",2
Souris - Moose Mountain,Village of North Portal,"$1,327",1
Souris - Moose Mountain,Village of Odessa,"$1,322",1
Souris - Moose Mountain,Village of Pangman,"$1,327",1
Souris - Moose Mountain,Village of Vibank,"$1,219",1
Souris - Moose Mountain,Village of Windthorst,"$1,548",1
Souris - Moose Mountain,Weyburn & Area Heritage Village,"$7,176",2
Souris - Moose Mountain,Weyburn & District Canoe & Kayak Club Inc.,"$6,879",2
Souris - Moose Mountain,Weyburn Gymnastics Club,"$8,494",3
Souris - Moose Mountain,Weyburn Leisure Centre,"$8,816",6
Souris - Moose Mountain,Weyburn Wor-Kin Shop Corp.,"$16,672",5
Souris - Moose Mountain,Whitewood Recreation Association,"$10,618",4
Souris - Moose Mountain,Whitewood Tourism and Heritage Association,"$2,240",1
Souris - Moose Mountain,formerly- Weyburn Branch of the Saskatchewan Association for Community Living,"$2,989",1
Souris - Moose Mountain,TOTAL CONSTITUENCY / CIRCONSCRIPTION,"$474,373",200
Yorkton - Melville,Kamsack Powerhouse Museum Inc,"$3,097",1
Yorkton - Melville,101297758 Saskatchewan Ltd.,"$2,649",1
Yorkton - Melville,Aberhart Farms Inc.,"$1,125",2
Yorkton - Melville,Big Brothers Big Sisters of Yorkton and Area,"$13,470",3
Yorkton - Melville,Boys & Girls Club of Yorkton,"$21,356",6
Yorkton - Melville,CMI Terminal Ltd.,$890,1
Yorkton - Melville,Canora Children's Centre,"$12,106",4
Yorkton - Melville,Canora Dairy Bar,"$3,097",2
Yorkton - Melville,Canora Golf and Country Club,"$7,091",2
Yorkton - Melville,Canora Rural Public Utility Board,"$1,549",1
Yorkton - Melville,Churchbridge Credit Union,"$1,322",1
Yorkton - Melville,City of Yorkton,"$7,742",5
Yorkton - Melville,City of Yorkton,"$1,548",1
Yorkton - Melville,Clearview Agro Limited,"$1,548",1
Yorkton - Melville,Dwarf Athletic Association of Canada,"$1,956",1
Yorkton - Melville,ESTERHAZY FULL GOSPEL FELLOWSHIP,"$3,513",1
Yorkton - Melville,East Central Research Foundation,"$3,097",1
Yorkton - Melville,East Central Saskatchewan Association for the Rehabilitation of the Brain Injured,"$2,981",1
Yorkton - Melville,Foam Lake Leisure Services Board,"$6,194",2
Yorkton - Melville,Foam Lake Water Park,"$15,484",5
Yorkton - Melville,Good Spirit Golf Resort,"$6,857",3
Yorkton - Melville,Good Spirit School Division #204,"$5,161",3
Yorkton - Melville,Heritage Village Museum,"$6,194",2
Yorkton - Melville,Hudson Bay Early Learning Centre,"$10,736",3
Yorkton - Melville,Hudson Bay Regional Park,"$3,092",2
Yorkton - Melville,Jean Pask Library,"$2,864",1
Yorkton - Melville,Kamkids Daycare Inc,"$3,341",1
Yorkton - Melville,Kaposvar Historic Site 1975 Society,"$5,442",2
Yorkton - Melville,LESLIE BEACH REGIONAL PARK,"$3,525",1
Yorkton - Melville,Lake Charron Regional Park,"$6,583",2
Yorkton - Melville,Langeburg & District Daycare Co-operative,"$3,500",1
Yorkton - Melville,Langenburg Community Development Board,"$4,738",3
Yorkton - Melville,Lifewise,"$1,161",1
Yorkton - Melville,MEC,"$2,159",1
Yorkton - Melville,Mallard Diversified Services Inc.,"$7,832",3
Yorkton - Melville,Melville Arts Council Inc.,"$3,064",1
Yorkton - Melville,Melville Heritage Museum Inc.,"$3,568",1
Yorkton - Melville,Miccar Aerial Ltd,"$2,782",2
Yorkton - Melville,Morris Lodge Society,"$3,413",1
Yorkton - Melville,Norenda Ag,"$1,548",1
Yorkton - Melville,Parkland Manufacturing Ltd,"$3,097",1
Yorkton - Melville,Parkland Regional Library Melville Branch,"$2,654",1
Yorkton - Melville,Porcupine Plain & District Museum Society,"$3,529",1
Yorkton - Melville,Prairie East Veterinary Clinic,"$3,097",2
Yorkton - Melville,Preeceville Personal Care Home,"$2,820",2
Yorkton - Melville,R.M. of Pleasantdale #398,"$1,549",1
Yorkton - Melville,RM of Good Lake No. 274,"$1,548",1
Yorkton - Melville,Rose Valley & District Heritage Museum Inc.,"$3,543",1
Yorkton - Melville,S.I.G.N.,"$3,574",1
Yorkton - Melville,SHA (former Sunrise Health Region),"$3,097",2
Yorkton - Melville,SIGN Early Learning Centre,"$3,094",1
Yorkton - Melville,Saltcoats Daycare,"$3,513",1
Yorkton - Melville,Sas-Kam Sportsman Ltd.,"$3,097",2
Yorkton - Melville,Saskatchewan Abilities Council Inc.,"$12,924",4
Yorkton - Melville,Saskatchewan Aboriginal Women's Circle Corporation,"$7,033",2
Yorkton - Melville,Saskpro Machine Works Ltd,"$3,639",3
Yorkton - Melville,Society for the Involvement of Good Neighbors,"$3,568",1
Yorkton - Melville,Society for the Involvement of Good Neighbors,"$2,999",1
Yorkton - Melville,St. Brieux Community Childcare Centre Inc,"$6,039",2
Yorkton - Melville,TERRY PUHL FOUNDATION INC.,"$7,049",2
Yorkton - Melville,Tourism Melville,"$1,327",1
Yorkton - Melville,Tourism Yorkton,"$3,525",1
Yorkton - Melville,Town of Bredenbury,"$3,097",2
Yorkton - Melville,Town of Canora,"$1,543",1
Yorkton - Melville,Town of Churchbridge,"$4,645",3
Yorkton - Melville,Town of Esterhazy,"$13,222",7
Yorkton - Melville,Town of Hudson Bay,"$4,645",3
Yorkton - Melville,Town of Kamsack,"$1,548",1
Yorkton - Melville,Town of Kelvington,"$15,921",6
Yorkton - Melville,Town of Lemberg,"$1,980",2
Yorkton - Melville,Town of Preeceville,"$3,097",2
Yorkton - Melville,Town of Sturgis.,"$6,194",3
Yorkton - Melville,Town of Wadena,"$1,548",1
Yorkton - Melville,Town of Watson,"$3,097",1
Yorkton - Melville,Village of Endeavour,"$1,327",1
Yorkton - Melville,Village of Grayson,"$1,549",1
Yorkton - Melville,Wadena & District Museum,"$5,686",1
Yorkton - Melville,Wadena Van Corporation,"$7,049",2
Yorkton - Melville,Watson Regional Daycare Centre Inc.,"$3,497",1
Yorkton - Melville,Wendell Honey,"$5,007",3
Yorkton - Melville,Weneeda Park Lodge,$465,1
Yorkton - Melville,Western Development Museum - Yorkton,"$3,557",1
Yorkton - Melville,Whitesand Regional Park,"$3,335",1
Yorkton - Melville,YFBTA,"$3,520",1
Yorkton - Melville,York Lake Golf & Country Club Inc.,"$6,887",2
Yorkton - Melville,Yorkton Alliance Church,"$3,324",1
Yorkton - Melville,Yorkton Canoe Kayak Club,"$16,619",5
Yorkton - Melville,Yorkton Short Film & Video Festival Inc.,"$3,537",1
Yorkton - Melville,TOTAL CONSTITUENCY / CIRCONSCRIPTION,"$411,586",165
Saskatchewan,GRAND TOTAL - SASKATCHEWAN,"$6,883,907","2,486"
